16:32:15.409456 [queue=0] packet #1, 127.0.0.1:55801 -> 127.0.0.1:8007, sz=11 is delivered
16:32:15.409990 [queue=1] packet #1, 127.0.0.1:8007 -> 127.0.0.1:55801, sz=11 is delayed for 3.6ms
16:32:15.414647 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:55801, sz=11 is delivered
16:32:15.657559 [queue=1] packet #1, 127.0.0.1:60929 -> 127.0.0.1:8007, sz=11 is delayed for 5.3ms
16:32:15.664550 [queue=0] packet #1, 127.0.0.1:60929 -> 127.0.0.1:8007, sz=11 is delivered
16:32:15.664819 [queue=1] packet #1, 127.0.0.1:8007 -> 127.0.0.1:60929, sz=11 is delayed for 700µs
16:32:15.665985 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:60929, sz=11 is delivered
16:32:15.934815 [queue=1] packet #1, 127.0.0.1:52281 -> 127.0.0.1:8007, sz=11 is delayed for 6.2ms
16:32:15.942797 [queue=0] packet #1, 127.0.0.1:52281 -> 127.0.0.1:8007, sz=11 is delivered
16:32:15.943214 [queue=1] packet #1, 127.0.0.1:8007 -> 127.0.0.1:52281, sz=11 is delayed for 5.5ms
16:32:15.950445 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:52281, sz=11 is delivered
16:32:16.157932 [queue=1] packet #1, 127.0.0.1:50001 -> 127.0.0.1:8007, sz=11 is delayed for 5.4ms
16:32:16.165012 [queue=0] packet #1, 127.0.0.1:50001 -> 127.0.0.1:8007, sz=11 is delivered
16:32:16.165518 [queue=1] packet #1, 127.0.0.1:8007 -> 127.0.0.1:50001, sz=11 is delayed for 6.2ms
16:32:16.173755 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:50001, sz=11 is delivered
16:32:16.359787 [queue=1] packet #1, 127.0.0.1:58250 -> 127.0.0.1:8007, sz=11 is delayed for 4.4ms
16:32:16.365624 [queue=0] packet #1, 127.0.0.1:58250 -> 127.0.0.1:8007, sz=11 is delivered
16:32:16.366117 [queue=1] packet #1, 127.0.0.1:8007 -> 127.0.0.1:58250, sz=11 is delayed for 3.6ms
16:32:16.370934 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:58250, sz=11 is delivered
16:32:48.513734 config: drop-rate=0.50, max-delay=4ms, seed=1479159168513672601
16:32:48.513869 router is listening at :3000
16:32:52.690110 [queue=1] packet #1, 127.0.0.1:59250 -> 127.0.0.1:8007, sz=11 is delayed for 1.84ms
16:32:52.692569 [queue=0] packet #1, 127.0.0.1:59250 -> 127.0.0.1:8007, sz=11 is delivered
16:32:52.692795 [queue=1] packet #1, 127.0.0.1:8007 -> 127.0.0.1:59250, sz=11 is delayed for 1.24ms
16:32:52.694598 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:59250, sz=11 is delivered
16:32:53.712404 [queue=0] packet #1, 127.0.0.1:60871 -> 127.0.0.1:8007, sz=11 is dropped
16:33:00.487036 [queue=0] packet #1, 127.0.0.1:60926 -> 127.0.0.1:8007, sz=11 is dropped
16:33:06.387451 [queue=1] packet #1, 127.0.0.1:56191 -> 127.0.0.1:8007, sz=11 is delayed for 280µs
16:33:06.387932 [queue=0] packet #1, 127.0.0.1:56191 -> 127.0.0.1:8007, sz=11 is delivered
16:33:06.388172 [queue=1] packet #1, 127.0.0.1:8007 -> 127.0.0.1:56191, sz=11 is delayed for 3.96ms
16:33:06.392708 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:56191, sz=11 is delivered
20:46:35.564686 config: drop-rate=0.00, max-delay=0s, seed=1479260795564636235
20:46:35.564973 router is listening at :3000
20:46:55.456389 config: drop-rate=0.00, max-delay=0s, seed=1479260815456345345
20:46:55.456540 router is listening at :3000
20:47:16.119127 config: drop-rate=0.00, max-delay=0s, seed=1479260836119065522
20:47:16.119316 router is listening at :3000
22:31:09.243710 [queue=0] packet #1, 127.0.0.1:56509 -> 127.0.0.1:8007, sz=11 is delivered
22:31:26.059991 [queue=0] packet #1, 127.0.0.1:64230 -> 127.0.0.1:8007, sz=11 is delivered
